ID,label,Comments
83,1,batsi ningakhohlwa kutsi simabhenjamini hehehehehe
84,-1,lomfana uyinigoti lona 
85,0,ngiyavuma
86,1,siyatichenya ngawe mntfwana lomncane
87,1,angati nekutsi ngitsini yebonine kuhle
88,1,kahle kahle uyayati intfo loyentako
89,-1,asesive yakho hhayi le lokukhwabanisa lomculo lengoma yakhe mfana
90,1, ngiyamuvuma lo akemukele timbali takho usaphila mntfwana wanaka
91,1,iyangibusisa
92,1,ishu lona ngumlilo muhle umsebenti bhuti wami
93,1,ayi bhuti ngisihlwele sakho lesikhulu ayikho ingoma yakho lengite yona fuca bhuti utofika la ufisa khona
94,1,ye ntwanencane colela labantfu
95,1,lapha tiyabuya timbecolo mnganami
96,1,timbeqolo mnganami
97,1,yebo inemlayeto impela bekusindvwe ngebelutfole kufinywa nangengcosa
98,1,uyicoca ngelulwimi lwesiswati uligugu kitsi singemaswati uchubeke njalo jaha lakitsi
99,-1,bitalabanye ngiyakucosha uyajika
100,1,ngiyabonga mine
101,-1,hhayi khona
102,0,yini le
103,0,naboke tjwala
104,1,ingichaza mase itsi quot masinatsa siyanatsa quoti
105,1,ngiyayivuma ngiyo
106,-1,ngiboniseni tjwala bami bunatfwe ngubani naboke cabanga lencenye leyo ishiwo ngelivi lelidzakiwe entfweni
107,0,washa
108,-1,sivelelwe phela tjwala banivulele angitsi ngiyo lena
109,0,mntungwa
110,-1,lomntfwana ufile bantfu labasezingeni uze uyatidida kwasanaye
111,-1,banele mnetfu awusimeleli simajita
112,0,kubukela nesidlo sasekuseni futsi singisi seta ngemkhumbi kulamalanga 
113,0,kucale nje nakatsi kudvumile
114,0,yati besifuna lendzaba ye epici gig
115,1,siyatichenya ngemakhosi etfu
116,0,ehlane lasiya khona
117,1,bohlubi labahle
118,1,ungacabangi lisiko lenu lesive semaswati nine noma ningangabikhona emaswati angachubeka
119,1,mpembe likhulu lichawe lakitsi lutsandvo mfethu
120,-1,jiyiva mhlabeleli impela konakele
121,1,muhle jesu
122,0,yah yakhiwe leividiyo 
123,1,kuyabonakala kutsi maswati kuhle nani nisenjabulweni yekuba sebukhoneni basimakadze
124,1,kuhle siyabonga siphetse emandla haleluya nkulunkulu akubusise sisi
125,1,ngyanivuma bo mshengu
126,1,yebo mfethu ngiyo le
127,0,ya ngiyakuva mfana sikulalele singala eMzansi
128,1,umona phansi mfana wakitsi bese batsi kute emakhono endzaweni
129,1,ngiyo
130,1,ngiyavuma maswati
131,1,awe eswatini kagogo nisebentile
132,1,kwamele mtfwanamake kuhle asinconcotseni bekunene
133,1,ayibo uyahlabelela losisi
134,1,hmm ngaze ngabusiseka
135,1,waze wawuvuselela umoya wami
136,1,siyabonga jesu haleluya haleluya
137,1,kunemandla bosisi ngibusisekile ungajiki mntfwanamake uhlale unje
138,1,sigcinele bona jesu bangesuki kuwe laba
139,1,kuyayiwa ezulwini
140,1,dlala ngenkondlo kanjena nkondlo wetinkondlo bhuti  hlezi ngibuke kuwe mfowethu
141,1,kanjena nkhondlo ngiyakuva
142,1,inemandla
145,1,mntfwana babe kuhle loku
146,0,ngisengasho ngitsi ngu mazi lobhalile  bhuti 
147,1,ibhaliwe gogo
148,1,siyabonga bhuti
149,0,mazi lobhalile
150,1,niyayenta lentfo yenu
151,1,naloke liswati naboke bujaha majaha
152,1,mnaketfu umsebenti wakho unotsile ngiyabonga mnaketfu 
155,0,kwetfu masekuvulekile kusuke sekuvulekile
156,1,totitoti bobhuti
157,1,senihamba tindzawo letinhle nginifisela inhlanhla bobhuti
160,0,ubuyaphi sikhanyisele
161,1,eswatini awumncinyana
162,-1,makhwapheni
163,-1,kukhona lengikuvako makhwapheni nanginawe
164,1, lengoma ngitayidlalela lomake wakami
165,-1,awu ngilamuleleni lentfo akusiyo yona
166,1,yamnandzi ingoma nani nkulunkulu ababusise
167,1,ngiyayitsandza lengoma lulwimi lwesiswati nje lumnandzi kwalona
168,0,ijikile indzaba
169,-1,ishi sigebengu mani ungaze ucele imali utsi kufiwe ekhaya
170,0,kepha lesiswati sakho
171,-1,batakuvisa buhlungu
172,1, ngiyalutsandza lulwini lwemaswati nendlela lebakhuluma ngayo bantfu balesive lesi
173,-1,imihlolo yebantfu
174,-1,uva kutsi inyandzaleyo ngikhulelwe mine sigebengu phila ngemachinga
175,1,chubeka bhuti muhle umsebenti wakho
176,1,iyakhuluma lengoma
177,1,intfo lebasenta yona bafati lena iyaphila lengoma
178,-1,kuhle sigebengu lesi siphila ngamachinga
179,1,sanibonani ngisenhla eMzansi langilalela khona nangu umculo lomnandzi ngiyatichenya 
181,0,buya esiteki ephola utoyidlala
182,1,ngilalele lengoma ngisetulu kulelaseMzansi ngitsi khuphukani bafowetfu ingiyo lentfo
183,1,ngalelinye lilanga ngitogcwala  ngenjabulo
184,1,ngiyo gogo gawula etiveni
185,1,niyigawulile cobo lengoma ingikhumbuta limuva lami isezingeni leliphakeme nisebentile
186,-1,lengoma ngiyidlale eceleni kwenyama yenkhunku lecotjiwe yavele yatfoseka sikanye iyashisa lengoma batukulu shiya
187,-1,kudzala ngizulazula
188,-1,lenye futsi ngeke ngivume
189,1,ngiyo bafana bagogo
190,1,mfowethu ngiyo mfowethu
191,0,nyalo ngiyilindzile bhuti sigawuleni
192,1,sajayiva ngema holidi ephasika ngiyo gatjeni
193,1,lengoma ingumlilo yabona lendlela lomfana lagijima ngakhona cha ngyavuma
194,-1,ngifika muva endlini ngeke ngisutse
195,1,phakama mntfwana l
196,1,kuhle loko bhuti kuhle kakhulu kitsi siyinsha siyabonga sikufisela imphumelelo
197,0,wendlula kanjani kumatsapha
198,1,nami angisakhoni sithandwasami
199,0,umculo wemaswati
200,1,kuhle siyabonga
201,1,hhayi ukhokhe lunyawo mnetfu
202,1,uyinikhosi uphetse laswatini ngitfula sigcoko
203,1,yebo bhuti lokuhle kuyabongwa chubeka nekwenta umsebenti lomuhle
204,0,phakama
205,1,bomnaketfu niyentile lentfo kuhle
206,1,lugcabho lwemaswati
207,1,ngitsandza indlela niyenta ngayo lentfoo anilwi niyenta nje kuhle loko
208,-1,ngiyo bafowethu khuphuka lapho bhuti mfana lomncane
209,1,uyakhuphuka kemanje ukhuphuka ngaloshuni wami siyabonga babe khuphuka babe
210,1,umculo wemaswati akasoze wafana khuphukani bafowethu
211,1,awu suka madoda
212,0,kadze ngabona kuthi umdzala la kuletemculo
213,1,wena mfana nibatjelile le siteji ngesakho bhuti uyakwati lowentako lelive lakitsi labokhokhomkhulu
214,1,khuphuka mfanwami
215,0,iviwa ngelutsi
216,-1,kwenu uyagula
217,1,kuhle kwetfu kuhle ketfu
218,1,umsebenti uyatikhulumela malume
219,-1,ebekwaphuma ingwenya lasitibeni
220,1,ngavele ngati ngicala kuyiva lengoma kutsi imnandzi
221,1,usebente ngalokwecile kakhulu umsebenti uyancomeka
222,1,umsebenti uhlobile kuhle kuyancomeka
223,1,mnaketfu sigcoko sami ngasetfula ngalela langa kuphuma lelilekhodi lase trenchesi worldi fire mnaka
224,0,yena uyawati umculo umona phasi
225,1,lalelahhayibo hhayibo yinihle lentfo ami kanjenana proudi bhuti muhle umsebenti qualityi isi beyondi
226,1,singemaswati siyaticenya ngawe
227,1, bhuti kanjenana ngijabula kakhulu uyindvodza emadvodzeni ngalengoma
228,1,yaba mnandzi
229,0,ngicela nitjele yean abuyele ekhaya
230,0,lokwa ngeluvivi
231,-1,uyishhayile
232,0,umtfwanakhe
233,1,ngete ngasala labanye balalela umculo lomnandzi kanjena yebo nami ngitsi uhamba embili bhuti
234,1,umsebenti muhle kakhulu nkabi yemswati
235,0,lokishi liyaphakamisa
236,1,mani ngishonjalo ngitsi imnandzi sibili lengoma phambili madoda
237,0,khuphuka lapho mfowethu
238,1,umsebenti lomuhle mcondzisi kwenu sihlobile umsebenti sakho bhuti muhle umsebenti bobhuti
239,1,akwandze mfana wasekhaya
240,-1,mahhwalala kasithole lana
241,0,hhayi hhayi hhayi wena unemandla mani
242,0,ngiyo lomphofu
243,0,kanjani
244,0,cela ningitjele laboke ngobe nami sengyihamba
245,1,ngiyamvuma llomfana
246,1,inemandla lentfo
247,1,yaphakamisa bhuiti ungehla babe wami ngiphakamisa kakhulu
248,-1,udlalelani ngatsi wena usivisa buhlungu nawucedza uyavuka
249,1,bobhuti niyasijabulisa nani
250,0,nyusa babe
251,-1,kuncono uyabhudza besengfile buhlungu bafo awu
252,1,kuhle konkhe nani ngicela usebenta nawe usengakadzabuki bhuti bafo wami kungenjalo kona kusebentekile
253,1,kungiko futsi kuhamba kahle konkhe bafowethu nisebentile nje imphela nonkhe futsi
254,0,incenye yekugcina
255,0,yebonine tsine labanye sinatsa kakhulu emaniti tinyembeti tiyatiphumela nje nasibuka lokunje yona imnandzi nani itsintsa nenhlitiyo ye histo
256,1,lokungijabulisako kutsi bewuphupha mfowethuwethu nanyalo usenatsi ampi uphilile ungumcemanie
257,1,ngaze ngaba emotionalbuti nje muhle lomsebenti
258,1,akatsi love utsi awusithayipi yamiluhle lulwimi letfu
259,1,pusha gazi yakuvuma ngatsi sjava sesiyema
260,-1,lijahlelimnyama
261,1,hhayi ngiyakvuma swethearti
262,-1,wena suka lapho awuva yini kutsi ngitsini
263,1,siswati setfu phakama eswatini live letfu singemaswati
264,-1,kwenu uyasinokha ufuna ividiyo sibe sikanjenanakola
265,1,ngabalisi kakhulu wena utawuphumelela kungekudzala
266,1,bafana bami
267,1,ngyabonga mfowethu
268,1,siyabonga mnetfwu kusipha umculo lomnandzi kanjenana ngikufisela imphumelelo lengagcini
269,0,mfanwami loyeyi yekela
270,1,kukufanele kutsi sale uchubeka uyosebenta embili bhuti ngalahli lulwimi lwakho nami nigyeta ngeke basentelutfo
271,1,ngiyahalalisa umsebenti lomuhle wena
272,-1,inhlupheko sikhala busuku nemini ngiyabonga
273,-1,ishaya khona bafowethu
274,-1,batsi sibhema insangu inkhululeko iyeta
275,1,chubeka wetame impela bafo umsebenti wakho uyabonakala
276,-1,kanjengalo ngiyakhala
277,1,babe manigiyekelelwa nguwe lami litsemba selikuwe
278,1,ngiyakuva mntfwana lencane
279,0,ginindza lomphofu netinyawo takhe sinanatelo saka ginidza
280,-1,kahle madvodza ngeke ngihlale ngingabalisi
281,1,maye siswati sakho sihle uhlabela nakahle mfana wasekhaya
282,0,nami ngisho njalo ngitsi quotbacolelequoti
283,-1,ngumlilo lona yebhuti
284,1,shwele khuphukani
285,1,khuphukani bo mnaketfu
286,0,shwele
287,0,sintfu nguhulumende angisho
288,1,siyabonga majaha umculo uyacaca
289,-1,yasho bomnetfu ngumlilo mosi lona
290,0,nami
291,1,ekhaya eswatini
292,1,liyandza cha uwafezile emaphupho akho kuhle manje
293,1,kuhle kakhulu mnaka ngisuka eningizimu africa isizulu nesiswati kucishe kufane ngiyive kahle imnandzi kakhulu babe
294,0,ngiyabonga mine mani
295,1,kuhle kakhulu bafana bakitsi
296,1,ngiyo ngiyo lena ngiyavuma muhle umsebenti wakho
297,1,muhle umsebenti wakho mnaketfu kusho kutichenya ngelulwimi lwakho
298,1,kuyatfokotisa kubona emaswati akitsi enta umsebenti lomuhle yibambeni lapho bafana bakitsi
299,1,uyabona lo quoti mcondzisi wenu quoti muhle nani umsebenti wakho brasi yona lengona kuhle kakhulu brbrtandla tindlula enhloko chubekani kanjalo bantfu bakitsi
300,0,nami
301,1,ngiyabonga mine ynani
302,1,kuhle kakhulu bafana bakitsi
303,1,muhle umsebenti wakhe mnaketfu kusho kutichenya ngelulwimi lwakho
304,1,ngiyayivuma mfana
305,1,kuyatfokotisa kubona emaswati akitsi enta umsebenti lomuhle yibambeni lapho bafana bakitsi
306,-1,kuyadlalwa ngatsi lana
307,-1,kudlaliwe ngema data etfu la
308,-1,maye yena akatfumeki nebakitsi
309,-1,wena sewunani lokungahloniphi gogo uyeyisalona akashayiwe singadlalwa tilwane
310,0,bekavalelisa ekuseni mnftwana nkulunkulu silwane
311,1,unelibhuluko lelisha wena
312,0,ngisabele entansi njenga adamu
313,0,ungaphazamisi lukholo lwaslwane gogo ngiyacela mani
314,0,angishongo kutsi phakela yemtfwana
315,-1,buvila slwane
316,0,okandaba waphakathi
317,0,mani njalo mlisa
318,1,wasibita savuma
319,0,bagabe ema shoba baningisebangangawe bhubesi bayethewena waphakathi
320,1,udle mathole ezinyathi bayethe nhlitiyo lemhlophe ngekwehlula emanga emadvodza waphakathi siyakutsandza nkhosi
321,-1,uyimbube uyesabeka bayethe waphakathi
322,-1,lwandlonanukhulu luyesabeka bayethe kanjena mandla asigcinele siloskhulu
323,1,bayethe waphakathi lonwele nanudze wabhuza mayi sandla sankulunkulu sikuphephise akuphe inhlakanipho simakadze
324,1,bayethe waphakatsi
325,1,siyabonga uyimbube siloskhulu
326,1,siswati setfu siyatigcabha ngakanjenana siyabonga
327,1,sitawukhululeka ngalelinye lilangasiphilele bacede siphilele
328,-1,ningaphumi lapho yidzawo inifaele nimahlongandlebe
329,1,sinawe mshengu sifisa sengatsi anganibusisa nkulunkulu
330,1,ngitsandza lesibindzi lonakanjenana mphatsi wetfu siynanlezi sinani emkhulekweni
331,0,eyi mntfwana wemfati nkosiyami
332,0,mshengu mshabalala mabuza sinanatelo sakamabuza
333,1,sibonge impela baholi kuphumelela kwenu kuba nje ngibonge kakhulu emagama lawakhulumile ayasicinisa simaswati lokutsi kanjenanalo umile ecinisweni ufuna inkhululeko yemaswati
334,1,siyabonga baholi kuma nebahlonishwa nkosi yami ebunzimeni bukani nje manijetimali tekufundza tisetule kepha kukuhulunywa ngebu kani lonkabi uyagubha yena ngale nebantfwa bakhe awu suka washo spoko skwatile
335,1,uyinidvodza yempi simakadze akawadli emandla emuntfu emazulu nemoya longcwele anatsi kulesimo madoda
336,0,batjeleni labo kutsi live lemaswati likahle kusete lokumatima
337,-1,ingabe utamentani usahlulwa kunakekela umdeni wakho nje
338,1,licinikanjenana vele sidzinga hulumende wetfu hhayi hulumende wemuntfu munye
339,1,ngiyakuva wna wekunene chaza tive tidalwa tasmakadze
340,1,ngatalwa ngemmbita
341,1,bangamjaji
342,0,buti akana secreti matsapha gospeli messengersi nje ingenaphi manije
343,1,maye siyabonga sicela umeme bosonkhondlo kuleluhlelo lwakho
344,0,ungamtsatsi nkulunkulu ngatsi ngu bhululu wakho bhululu
345,-1,umkhanukangekho
346,0,yabona wamifuta khalekuseni majorkona nakanjenanatsi kani bekuyimfihlo yni
347,1,umumbholofidi uyatakhela emagama esingisi futsi ngiyatitsandzela mine ngalenhlitiyo yami lencane chubeka nako mumbholofidi
348,0,ingabe lo wetmoto lakatipha bantfu wabapha mbamba yini czi connedi myi friendi ki amtsembisa kumupha imoto tilli todayi
349,-1,bengitsakatsa vele
350,1,kunemphilo ekhaya kuboo bobabili batali bakhe basaphila kanye nagogo wakhe 
351,1,silwane semandla
352,1,ngichazwa ngulo nombolo yekucali njei sibe sesiku sisenombolwenini yemashumi lasihlanu
353,1,hehehe wase uveta infihlo umbholofidi umnikelo ujabule kakhulu wakhipha nemfihlo yemnikelo
354,-1,wake wayivaphi mahlala ekhukhwini akhalanje ietindzaweni letinjeni lowelucingo kufanele acoshwesi akafundziseki ngemsebenti
355,-1,uyakhuluma lo babe
356,-1,nine seyine gekhatsi kulendlu utoshumayela kanjena nalo angivanga kutsi uyajola yini
357,1,akulandzele gedlembane siyacela
358,-1,babwakho wakuphika
359,1,uyatikhulumela wenai cha ukhulume kahle lapha yini indzaba yakho
360,-1,yona beyinigumlilo sesicela situfuza sitokuva kutsi kahle kahle yena uyini inyanga nome ungumfindisi intsatseli ngoba akucondzabali
361,0,tsunami lucobo lwakhe kunini kanjenanalo simumele
362,1,kunjalo nceku
363,1,siyabonga babe kisincusela emseni wa nkulunkulu asiwufanelanga ngenxa yebufze bendlela
364,-1,kona asijajani nalabacoki babocoka umuntfwu lowatiwako ngaletasekhaya
365,1,ameni unkulunkulu esimkhonzayio
366,1,phakama tsunami phakama babe phakama ayi ngikuvile nceku
367,0,bese litsi lakhe ningaliphatsi ligama lami ngelite kusho smakadze
368,1,kani wenaumnandzi
369,1,hheyi gibela wena phakama babe yenyuka
370,1,ameni mfundisi umthantazo lojule kanjenana
371,-1,nje ngumfundisi lo
372,-1,uyabona ngifisa kubona bakini
373,-1,umubi wena ndvodza wena
374,-1,atilinganiswa ke letitfombe nkhosi lesakho siba ngentasana kwalesi semgwenyama
375,-1,yemnganu ngicela ube ngumngani wami bhuti wami uyabona uhamba wedvwa lakangwane mine ngicela ungangcwatjwa lapho ekanjenanantfweni njengabo bafundisi base rloma ungabotitsintsa te tenkhululeko kepha tindzala kunawe mngani wami sicocele ngaletiga takho na lolomunye umlingani wakho nibanga ini vele mine
376,0,unjani ye mnumzane dlamini ubobakhumbuta kutsi inkhosi yaya emelika wabindza dvu monti
377,-1,mfati unaye nje wena mndvodza wena
378,-1,asebambhense lenyatsini lo
379,-1,udzakiwe habe siphaza
380,-1,kanjena uyagula lapha enhloko yakho
381,-1,ugula impela lapha enhloko yakho lenkhulu wena mfana wena kukuphi kini wena 
382,-1,kutawunya inja eyi luhlanya letsembeni
383,-1,yesilima kasonalo wenta lite musa kuteta loncono wakhona maye uyasenyanyisa bo kube uyati nhlokonkhulu ase uphume emabhozeni nhlokonkhulu
384,-1,ngeke uye ezulwini wena usasitfuka kanjenana ushumayiela ini vele nje cha nyekela lokukholwa dimoni
385,-1,lizeku aliseti hamba uyolapha kucace kutsi ungubulali
386,-1,nababe kunene lowabulawa esiteki maphoyisa bekalunge kakhulu
387,-1,utsi umpholofidi ufuna kufaka luzeku
388,0,siyesaba angesabi mine impela
389,-1,litsambo lemuntfu liyakhuluma nyalo kukhuluma lawa lashaya ebrewery
390,0,buyisela le mali yase buildingi kanjenanacietyi
391,-1,mine nginaka kwakona lokutsi yena unaka mthembu kuphela lo lomunye abe ungenasebenti yini yena ngulube uyanya
392,-1,tjela mswati masimbha enja
393,-1,buyela esikolweni utokwati kufundza imphilo lekucabangela sive sasmakadze usisibo bamswati siba nkulunkulu ubabuye tikwe sive sigcuzulo lomngani wakho buka uynanamba wedwa buka ke
394,-1,laba lebafaka bantfu ebreweryi watsini uyagula mbamba lungisa umlomo fani utophumula ucedza ku posti justice khona laku youtube utsi lobulala nayie utobulawa
395,-1,awsiyeke tjela lobukhosi bakho buyeke kudlala ngatsi tu
396,-1,ayiniye inja nani
397,0,besingekho kantsi iphi yona stobabemba lalangokuthula
398,-1,babulawe lani laba labafa ewena ndoda yelizekwa
399,-1,maye nanayi inyanga iyahlupha nayi ikhuluma nelite senguye lekati labalungile nalabangakalungi asikhaleni kanjenanakhe size sikhululeke
400,-1,uyahlanya loutsi batawthantaza kuze kuphume ema mpi kubuye gawzela uyanya lomfundisi mbumbulu lo
401,0,ingabe ngusiphi lesikhundla lacabanga kutsi batamnika kanjenanana nangu babe wakhona ngoba kanjenanalo uzama kugcucgutela ufuna lusito tsite
402,-1,wena ukhululumisa kwemuntfu lonetilwane uyati kani kutsi kunemaphoyisa labulala bantfu kubi manje
403,-1,tjela inkhosi yakho isuke emanidleni ikhulule emaswati vaka phuma ku politiki unake bunyanga bakho noma likanjenanantfo lakhoutawufela kukhulumela futsi kanjenanalo ujabulisa bantfu
404,0,tjela yena umnganakho akhiphe lalababoshiwe kabo bayakhala onkhe malanga buhlungu bunye
405,-1,kani unabo bantfwana ngabe batsini nje nababona luhlazo nanunjena brsnike lalababulala bantfu ngalo brbrmine angimati mthembu
406,0,ngani mine angimati lomthembu
407,-1,fani awudliwa mosi
408,0,abakhokhe elalunga ephalamende ejele kuphelanje
409,-1,umfundisi lokhuluma ngeluzeku
410,-1,siyesaba angesabi mine
411,-1,ukudlisile mkhulu mangololo
412,-1,yemfowethu asewume bo nkhosi dlamini wekunene kukhuluma indende yelite  mfowethu yidla imali yakho kuphela ungakhulumi kakhulu
413,0,kulicinikanjenana lesi sikhatsisekugcina
414,1,kuhle nkhosi
415,-1,kulukhuni emhlabeni nakunjena
416,-1,muyekelani atihhemele yacalwa ngini lentfo yeku tfumela latinkhundleni tekuchumana nihlupha emaswati nangoke longangani ningakhononi
417,-1,ubogawula ubheke poca uyakulandzela utakuwe batakwemuka ngulelilanga utabati
418,-1,nje uyakholwa lona angetsemi kepha setikhatsi tokugcina
419,-1,tinjinga atibenti lobulima lobu utfuswa bo tinkhulungwane letilishumi kanjenanatsi unemali shame phuya ndzini asiyidzingi nalemali yakho nayisitabani kuphi vele dlani nebantfwabakho yekela tsine silwele kukhululeki vele sidla emasimba lenkhosi yakho idla lomnotfo wetfu batfwabetfu bafile kuhlupheka asilweli kulula tisu njengawe sifuna inhlalakahle yawonkhe wonkhe lalabatsandza inkhosi ngulalabakhatsalele tisu tabo ngoba yalapha utinaka ukhnanlwe ngisho bakenu
420,-1,uyasenyanyisa sathane zini
421,0,awungiphe lemali ye majori vi ngafa kushayieka
422,-1,ibhemile lendvodza lena
423,-1,uyaphila engcodveni lona
424,-1,labanemali abayigabatisi nanu luphuya lwelihedeni nje luftuswa ngu hambofa nyanga yemtsakatsi
425,-1,lokweligwayi kuyabhadala
426,-1,lobabe uyakholwa kodwa tikhatsi tekugcina lesesiphila kuto bantfu bankulunkulu mfundisi mbumbulu
427,-1,yebabe nkosi yami liyahlazeka livangeli uma nenta nje nibadzala niphindze nitibite ngeba propheti ba nkulunkulu maye siyasha yehheni labangakholwa batobese benta njani nasenigabisa bunjingalitsini libhhayibheli ngemuntfu lonjingile
428,0,ngivelumkakhe
429,-1,lapha inetworki kadze yahamba
430,-1,mxmi yini le
431,-1,beyilambile inceku nkosiyami uyaganga lomake kuncisha inceku tibiliboco tayio
432,0,wena nalo mngani wakho nentani nje nibanga tintfombi yena loya akanaki ngani yakakhe asasukela umndeni wakho kani uyamholela umphatsa kahle awu nawe khumalo uhlekisa ngalo nje kepha yena uyakutsandza hhayi ntungweri mani colelanani majaha benivele niganga nje nobabili mcolele sthandwa selive sinitsandza nonkhe inkinga khumalo utawukhonta kuliphi likanjenanantfo labatamemukela ngelikanjenana lelihlobile waze wabafaki enkingeni bazalwane wa ntungwa
433,-1,akudlali lokwa khumalo
434,0,khumalo
435,-1,umbholofidi emdangalazweni etihlahleni etintfombini yini leyo batsini bazalwane bakhe
436,-1,uhlaza babholofidi vele angikuboni lokuphilako lokukhulwa ngulobabe buya nkhosi jesu nakunje
437,-1,mxmi umdanti wa majori vi
438,0,imimoya ngemimoya wayaphi moyongcwele
439,-1,wakulaya mbholofidi wemaniga ndzini umdzala kanjenana usashela ngumfundisi lonhani kazi labantfu lodlala ngabo uyotsini kubabe losezulwini nkulunkulu uyakubona ukubukile babe
440,0,hhawi khumalokhumalo
441,-1,angiboni kutsi usaphila wema
442,0,khumalo mcolele nceku ngiyathemba kutsi namanije akati kutsi bekentani phambi kwelibandla lucolo alube kuwe ameni
443,0,mtjele mumbholofidi kutsi kusemhlabeni lapha
444,1,kwasa mbutfo
445,0,yabona
446,0,batjele babe abakhuliswanga esangweni labo laba nghhinghhitelako bafuna kweba umnotfo wemaswati
447,0,simele licinisio yemavusana
448,0,sikhuta onkhe lamalanga kutsi yekelani kushayiela ninatsile
449,-1,sitimela sisikhulu kangaka unani kanikuyawube bowubhizi uphusha le contenti lebhedzako kantsi usemgwacweni
450,-1,yekela lotjwala nkhosi sisakudzinga
