ID,label,Comments
136,1,siyabonga jesui gloryi gloryi
137,1,powerfuli sistersi imi blessedi ungajiki mntakama uhlale unje
138,1,sigcinele bona jesu bangesuki kuwe laba
139,1,kuyayiiwa ezulwini
140,1,dlala ngenkondlo kanjenanankondlo weti nkondlobri kute kuthulisele ingcondvongikufaka imendlela ngani ulihlahla ndlelayiona indlela yekulandzelwa hlezi ngibuke kuwe mfe
141,1,kanjenanankhondlo hayia mhhayii ngiyakuva
142,1,inemanidla
143,0,ngiyo
144,0,babwamii mazi
145,1,mntfwana babe thisi isi beautifuli
146,0,ngisengasho ngitsi quotngu mazi lobhalilequotbrbri
147,0,ibhaliwe gogo
148,1,syabonga bhuti
149,0,mazi lobhalile
150,1,niyayienta lentfo yenu
151,1,naloke liswati naboke bujaha majaha
152,1,mnaketfu umsebenti wakho unotsile noma mhlawumbe ungazuzi kangakanani tsine siyaphila ngiyabonga mnaketfungikahlatsi kagogo kangwane eswatini
153,0,tsabedze uyetsaba utsatsa matsebula niye kumatsapha niyotsenga ematsanga nematsapha labuya atsengiswe butsaphutsaphu esitsatsaweni ngalesitsatfu ntsambama
154,-1,quotindvwuku nalamuhla ayiiwakhi umutiquoti
155,1,kwetfu masekuvulekile kusuke sekuvulekile
156,0,toti toti bobhuti
157,1,guysi goingi placesi nginifisela inhlanhla bobhuti
158,0,ngikhumbule
159,-1,bona bayiasentela bomakhwapheni myi favourite kanjenanangi
160,0,ubuyaphi sikhanyisele
161,1,eswatini awumncinyana
162,-1,makhwapheni
163,-1,kukhona lengikuvako makhwapheni nanginawe
164,1,jesu yenine ayiibo lengoma ngitayiidlalela lomake wakami
165,-1,awu ngilamuleleni lentfo akusiyo yona
166,1,yamnandzi ingoma nanu nkulunkulu ababusise
167,1,ngiyayiitsandza lengoma lulwimi lwesiswati nje lumnandzi kwalona
168,0,ijikile indzaba
169,-1,eishi sgebengu manii ungaze ucele imali utsi kufiwe ekhayia
170,0,nedi lesiswati sakho
171,-1,bataku hurteri
172,1,ngisho sigebengu justi love siswati scenti
173,-1,imihnano yebantfu
174,-1,uva kutsii inyandzaleyo ngkhulelwe minesgebenguphila ngamachinga
175,1,chubeka bhuti mhle umsebenti wakho
176,0,iyakhuluma lengoma
177,1,intfo lebasenta yona bafati lena iyaphila lengoma
178,-1,wowi sgebengu lesi sphila ngamaqhinga
179,1,hi ami ngisenhla egautengi langilalela khona nangu umculo lomnandzi awumanigali ngoba ngihlala naletinye tive kepha angeke liphele liviki ngingakalaleli jayii spitteri fti mi nationi liphuzu lengita nalo kutsii ami proudi swati fromi entasi ebhabtinibarbertoni labatiko batsi sitimela sigcina khona lengingakusho nje kutsii bacinisile labadzala nabati quotindvuku lenhle igawula etiveni kantsi futsi umjingi udliwa inhlitiyoquoti
180,0,mi nationi babwamii
181,0,buya esiteki ephola utoyi performeri
182,1,ngilalele lengoma ngphezulu kwelase northi westi ngtsi khuphukani bafowetfu ingiyo lenfto
183,-1,ngalelinye lilanga utongibulala ngenjabulo
184,0,ngiyo gogo gawula etiveni
185,0,niyigawulile cobo thisi tracki ingikhumbuta limuva lami itsi reallyi dope welli done guysi
186,-1,langoma ngiyidlale eceleni kwenyama yenkhunku lecotjiwe yavele yetfoseka sikanye brbriyashiya lengoma batukulu shiya
187,0,kudzala ngizulazula
188,-1,lenye futsi ngeke ngivume
189,1,ngiyo bafana bagogo
190,-1,wayiiphula phula leyakho mfowethu ngiyo mfowethu
191,0,bengikanjenanalo ngiyilindzile brasigawuleni
192,1,sajayiiva ngema holdayii ephasikabrngiyo gatjeni
193,1,lengoma ingumlilo yabona lendlela lyrikali busta lagijima ngakhona cha ngyavuma
194,-1,ngifika sebadlile endlini ngeke ngisutse
195,1,phakama mntfwana lencane
196,1,kuhle loko youngzeshi kuhle kakhulu kitsi siyinisahi siyabonga sikufisela imphumelelo
197,0,wendlula kanjani kumatsapha
198,0,nami angisakhoni sithandwasami
199,0,ngicela kutsii ungibeke esiteshinii kakhoza swati musici
200,1,kuhle siyabonga
201,1,hhhayii ukhokhe lunyawo mnetfi
202,1,uyinikhosi uphetse laswatini ngitfula sigcoko
203,1,yho bhutyi kuhle kuyabongwa chubeka nekwenta lomuhle
204,0,phakama
205,1,hrefhttpwwwyoutubecomresultssearchqueryswatimusictotheworldswatimusictotheworlda bonaketfu niyentile lentfo kuhle
206,1,ligcabho lwemaswati
207,1,ngitsandza ndlela niyenta ngayio lentfwo anilwi niyenta nje kuhle loko
208,-1,ngiyo bafowethukhuphuka lapho njayiami ntwanencane
209,1,uyakhuphuka kemanije ukhuphuka ngaloshuni wamii siyabonga babe khuphuka lyrikali
210,1,swati musici ayiikanjenanaze yafana khuphukani bafowethu
211,1,awi suka madoda kanjenanaundi fori generationsupscale live againi asisiompaniedi byi greati visualsa hrefhttpwwwyoutubecomresultssearchquerydirektordirektora kwenu se bra hrefhttpwwwyoutubecomresultssearchquerykanjenanauthkanjenanautha africa
212,0,kadze ngabona kuthi umdzala la kuletemculo
213,1,busta mfana nibatjelile le siteji ngesakho bhuti uyakwati lowentako oni lelive lakitsi labokhokhomkhulu
214,1,khuphuka mfanwamii
215,0,iviwa ngelutsi
216,-1,kwenu uyagula disi sicki
217,1,kuhle kwetfu kuhle ketfu
218,1,umsebenti uyatikhulumela malume
219,-1,ebe kwaphuma ingwenya lastibeni
220,0,knewi thisi wasi hiti ngicala kuyiva
221,1,workingi overtime brumuhle kakhulu umsebenti uyancomeka
222,1,spani sihlobile kuhle kyancomeka
223,1,mnaketfu sigcoko sami ngasetfula ngalela langa kuphuma lelilekhodi fromi trenchesi worldi fire mnaka
224,1,yena uyawati umculo umona phasi
225,1,lalelahhayibo hhayibo yinihle lentfo ami kanjenana proudi bhuti muhle umsebenti qualityi isi beyondi
226,1,wowi singemaswati siyaticenya ngawe kanjenanaundi perfecti camera perfecti kepi shiningi bhuti
227,1,cleani bhutikanjenana proudi kakhulu uyndvodza emadvodzeni withi thisi recordi
228,1,yamnandzi
229,0,ngicela nitjele hloni abuyele ekhayia abegi
230,0,lokwa ngeluvivi
231,-1,uyishhayiile
232,0,umtfwanarayii
233,1,ngete ngasala kunanuju nanu deliveri besti mnetfu umlilo lo
234,1,umsebenti muhle kakhulu nkabiyamswati musici worldi bafowethu
235,0,lokishi liyaphakamisa
236,1,lyrikali busta brbrlengoma imnandzi sibili
237,0,khuphuka lapho mfowethuwethu
238,1,greati jobi directori kwenu sihlobile spani sakho bhuti umhle umsebenti bo bhuti eswatini musici worldi
239,1,akwandze mfana wasekhayia
240,-1,mahhwalala kasithole lana
241,-1,hhhayii hhhayii hhhayii lyrikali busta exeto powerfuli mnetfu
242,0,ngiyo lomphofu
243,0,kanjani
244,0,cela ningitjele laboke ngobe nami sengyihamba
245,1,ngiyamvuma lodpi
246,1,inemanidla lentfo
247,1,eswatini musici yaphakamisa histo ungehla babe wamii bigi uppi
248,-1,udlalelani ngatsi histo usvisa buhlungu nawcedza uyavuka
249,1,bobhuti niyasijabulisa nani
250,0,yzi nyusa babe
251,-1,kuncono uyabhudzabesengfile buhlungu bafobri kawu
252,1,kuhle konkhe nani ngicela usebenta nawe usengakadzabuki bhuti bafo wamii kungenjalo kona kusebentekile
253,1,kungiko futsi kuhamba kahle konkhe bafowethu nisebentile nje imphela nonkhe futsi
254,0,incenye yekugcina
255,0,yebonine tsine labanye sinatsa kakhulu emaniti tinyembeti tiyatiphumela nje nasibuka lokunje yona imnandzi nani itsintsa nenhlitiyo ye histo
256,1,lokungijabulisako kutsii bewuphupha mfowethuwethu nanyalo usenatsi ampi uphilile ungumcemanie
257,1,ngaze ngaba emotionalbuti nje muhle lomsebenti
258,1,akatsi love utsi awusithayipi yamiluhle lulwimi letfu
259,1,pusha gazi yakuvuma ngatsi sjava sesiyema
260,-1,lijahlelimnyama
261,1,hhhayii ngiyakvuma swethearti
262,0,kanjani
263,1,siswati setfu bigi upi eswatini
264,-1,kwenu uyasnokha ufuna ki fori iividiyo sibe sikanjenanakola brbrbrfelti thati
265,0,ngabalisi kakhulu zeshi kanjenanani thisi willi blowi
266,0,bafana bami
267,1,ngyabonga mfowethuwethu
268,1,siyabonga mnetfwu kusipha umculo lomnandzi kanjenana ngikufisela imphumelelo lengagcini
269,0,mfanwamii lo yeyi yekela dope
270,0,u deserve nkabi recordsi buti ngalahli lulwimi lwakho nami imi comingnasimunye ngeke basentelutfo
271,1,ngyavuma boi
272,0,inhlupheko skhala busuku nemini ngiyabonga
273,-1,ishayia khona bafowethu
274,-1,batsi sibhema insangubrinkhululeko iyeta
275,1,kepi oni pushingi bafoumsebenti wakho uyabonakala
276,-1,kanjenanalo ngiyakhala
277,1,babe manigiyekelelwa nguwe lami litsemba selikuwe
278,1,ngiyakuva mntfwana lencane
279,0,lomphofu
280,-1,kahle madvodza ngeke ngihlale ngingabalisi
281,1,mayie siswati sakho sihle uhlabela nakahle mfana wasekhayia
282,0,nami ngisho njalo ngitsi quotbacolelequoti
283,-1,ngumlilo lona yebhuti
284,1,shwele khuphukani
285,1,khuphukani bo mnaketfu
286,0,shwele
287,0,sintfu nguhulumende angisho
288,1,siyabonga majaha umculo uyacaca
289,-1,yasho bomnetfu ngumlilo mosi lona
290,0,nami
291,1,ekhayia eswatinisi
292,1,liyandza cha uwafezile emaphupho akho kuhle manije
293,1,kuhle kahkkulu mnaka ngisuka ekanjenanauthi africa isizulu nesiswati kucishe kufane ngiyive kahle imnandzi kakhulu babe
294,1,ngiyabonga mine ynani
295,1,kuhle kakhulu bafana bakitsi
296,1,ngiyo ngiyo lena ngiyavuma muhle umsebenti wakho
297,1,muhle umsebenti wakhe mnaketfu kusho kutichenya ngelulwimi lwakho
298,1,kuyatfokotisa kubona emaswati akitsi enta umsebenti lomuhle yibambeni lapho bafana bakitsi
299,1,uyabona lo quoti mcondzisi wenu quoti muhle nani umsebenti wakho brasi yona lengona kuhle kakhulu brbrtandla tindlula enhloko chubekani kanjalo bantfu bakitsi
300,0,nami
301,1,ngiyabonga mine ynani
302,1,kuhle kakhulu bafana bakitsi
303,1,muhle umsebenti wakhe mnaketfu kusho kutichenya ngelulwimi lwakho
304,1,ngiyayiivuma mfana
305,1,kuyatfokotisa kubona emaswati akitsi enta umsebenti lomuhle yibambeni lapho bafana bakitsi
306,-1,kuyadlalwa ngatsi lana
307,-1,kudlaliwe ngema data etfu la
308,-1,mayie slwane akatfumeki nebakitsi
309,-1,slwane sewunani lokungahloniphi gogo uyeyisa lo akashayiwe singadlalwa tilwane
310,0,bekavalelisa ekuseni mnftwana nkulunkulu silwane
311,1,slwane unelibhuluko lelisha
312,0,ngisabele entansi njenga adami
313,0,ungaphazamisi lukholo lwaslwane gogo ngiyacela manii
314,0,angishongo kutsii phakela yemtfwana
315,-1,buvila slwane
316,0,okandaba waphakathi
317,0,manii njalo mlisa
318,1,wasibita savuma
319,0,bagabe ema shoba baningisebangangawe bhubesi bayiethewena waphakathi
320,1,udlemathole ezinyathi bayiethe nhlitiyo lemhlophe ngekwehlula emaniga emadvodza waphakathi siyakutsiandza nkhosi
321,-1,uyimbube uyesabeka bayiethe waphakathi
322,-1,lwandnanukhulu luyesabeka bayiethebrkanjenanamanidla asigcinele siloskhulu
323,1,bayiethe waphakathi lonwele nanudze wabhuza mayii handi ofi godi alwayisi protecti mayii godi give greati wisdomi
324,1,bayiethe waphakatsi
325,1,siyabonga uyimbube siloskhulu
326,1,siswati setfu siyatigcabha ngakanjenana siyabonga
327,1,sitawukhululeka ngalelinye lilangasiphilele bacede siphilele
328,-1,ningaphumi lapho yidzawo inifaele nimahlongandlebe
329,1,sinawe mshengu sifisa sengatsi anganibusisa nkulunkulu
330,1,ngitsandza lesibindzi lonakanjenana mphatsi wetfu siynanlezi sinani emkhulekweni
331,0,eyi mntfwana wamiabuza nkosiyami
332,0,mshengu
333,1,sibonge impela baholi kuphumelela kwenu kuba nje ngibonge kakhulu mabuza emagama lawakhulumile ayiasicinisa simaswati lokutsii kanjenanalo umile ecinisweni ufuna inkhululeko yemaswati
334,1,siyabonga baholi kuma nebahlonishwa nkosi yami ebunzimeni bukani nje manijetimali tekufundza tisetule kepha kukuhulunywa ngebu kani lonkabi uyagubha yena ngale nebantfwa bakhe awu suka washo spoko skwatile
335,1,uyinidvodza yempi simakadzebri akawadli emanidla emuntfubremazulu nemoya longcwele anatsi kulesimo bahlonishwa bri
336,0,batjeleni labo kutsii live lemaswati likahle kusete lokumatima
337,-1,ingabe utamentani usahlulwa kunakekela umdeni wakho nje
338,1,licinikanjenana vele sidzinga hulumende wetfu hhhayii hulumende wemuntfu munye
339,1,ngiyakuva dlamini wekunene chaza tive tidalwa tasmakadze
340,1,ngatalwa ngemmbita
341,1,bangamjaji
342,0,buti akana secreti matsapha gospeli messengersi nje ingenaphi manije
343,0,mayie siyabongabrbrbrplease consideri invitingi gcinimiyalo profi hesi one ofi mosti talentedi poetsi ofi countryi
344,0,quotungamtsatsi nkulunkulu ngatsi ngu bhululu wakho itsi noti youri bhululuquoti
345,0,umkhanukeangekho tsunami
346,0,yabona wamifuta khalekuseni majorkona nakanjenanatsi kani bekuyimfihlo yni
347,1,umumbholofidii uyatakhela emagama esingisi andi love iti withi myi alli heartkepi iti upi mumbholofidii
348,0,ingabe lo wetmoto lakatipha bantfu wabapha mbamba yinii czi connedi myi friendi ki amtsembisa kumupha imoto tilli todayii
349,-1,bengitsakatsa vele
350,1,kunemphilo khabo majori bothi parentsi andi grandmotheri alive
351,1,silwane semanidla
352,1,ngichazwa ngulo quotnombolo yekucali njequoti sibe sesiku sisenombolwenini yemashumi lasihlanu
353,1,hehehe wase uveta infihlo umbholofidi umnikelo ujabule kakhulu wakhipha nemfihlo yemnikelo
354,-1,wake wayiivaphi mahlala ekhukhwini akhalanje ietindzaweni letinjeni lowelucingo kufanele acoshwesi akafundziseki ngemsebenti
355,-1,khrsi brbruyakhuluma lo babe
356,0,tsunami seyinigekhatsi kulendlu utoshumayiela kanjenanalo angvanga kutsii uyajola yinii
357,1,akulandzele gedlembane siyacela
358,1,quotbabwakho wakuphikaquoti
359,1,uyatikhulumela majori vnice interviewwhatsi youri storyi
360,-1,tsunami beyinigumlilo sesicela stufuza sitokuva kutsii kahle kahle yena uyinii inyanga nesi mfindisi intsatseli ngoba wowi
361,0,tsunami lucobo lwakhe kunini kanjenanalo simumele
362,1,kunjalo nceku
363,1,siyabonga babe kisincusela emseni wa nkulunkulu asiwufanelanga ngenxa yebufze bendlela
364,-1,kona asijajani nalabacoki babocoka umuntfwu lowatiwako ngaletasekhayia
365,1,ameni unkulunkulu esimkhonzayio
366,1,phakama tsunami phakama majori majori ayii ngikuvile nceku
367,0,bese litsi lakhe ningaliphatsi ligama lami ngelite kusho smakadze
368,1,kani majori vi umnandzi
369,1,hheyi gibela majori vi phakama tata yenyuka
370,1,ameni majori vi umthantazo lojule kanjenana
371,-1,nje ngumfundisi lo
372,-1,uyabona ngifisa kubona bakini
373,-1,umubi
374,0,atilinganiswa ke letitfombe nkhosi lesakho siba ngentasana kwalesi semgwenyama
375,0,ye majori ngicela ube ngumngani wamii bhuti wamii uyabona uhamba wedvwa lakangwane mine ngicela ungangcwatjwa lapho ekanjenanantfweni njengabo bafundise base roma ungabotitsintsa te demosiracyi kepha tindzala kunawe mnganami sicocele ngaletiga takho na khumalo nibanga ini vele beautifuli boyi
376,0,unjani ye vusamuzi dlamini brubobakhumbuta kutsii inkhosi yayia emerica wabindza dvu monti
377,0,mfati unayie nje majori vi
378,-1,asebambhense lenyatsini lo
379,-1,udakiwe hhabbe siphaza
380,-1,majori vi kanjenanayagula lapha enhloko yakho
381,-1,majori vi kanjenanayagula
382,-1,kutawunya inja eyi luhlanya letsembeni
383,-1,ye silima kanjenanalo wenta lite musa kuteta loncono vi wakhona mayie uyasenyanyisa xmi kube uyati hloko khulu ase uphume emabhozeni hloko khulu
384,-1,ngeke uye ezulweni wene usasitfuka kanjenana ushumayiela ini vele nje cha nyekela lokukholwa dimoni
385,-1,lizeku aliseti hamba uyolapha kucace kutsii ungubulali
386,-1,nababe kunene lowabulawa esiteki maphoyisa bekalunge kakhulu
387,0,utsi umprophethi ufuna kufaka luzeku
388,0,siyesaba angesabi mine reallyi
389,-1,litsambo lemuntfu liyakhuluma nyalo kukhuluma lawa lashayia e breweryi
390,0,buyisela le mali yase buildingi kanjenanacietyi
391,-1,mine nginaka kwakona lokutsii yena unaka mthembu kuphela lo lomunye abe ungenasebenti yinii yena ngulube uyanya
392,-1,tjela mswati masimbha enja
393,-1,buyela esikolweni utokwati kufundza imphilo lekucabangela sive sasmakadze usisibo bamswati siba nkulunkulu ubabuye tikwe sive sigcuzulo lomngani wakho buka uynanamba wedwa buka ke
394,-1,laba lebafaka bantfu ebreweryi watsini uyagula mbamba lungisa umlomo fani utophumula ucedza ku posti justice khona laku youtube utsi lobulala nayie utobulawa
395,-1,awsiyeke tjela lobukhosi bakho buyeke kudlala ngatsi tu
396,-1,ayiiniye inja nani
397,1,besngekho mprofeti kantsi iphi byi one byi one stobabemba byi one byi one kanjenanarryi mthembu lalangokuthula
398,0,babulawe lani laba labafa ewena ndoda yelizekwa
399,-1,mayie nanayii inyanga iyahlupha nayii ikhuluma nelite senguye lekati labalungile nalabangakalungi asikhaleni kanjenanakhe size sikhululeke
400,-1,uyahlanya loutsi batawthantaza kuze kuphume ema mpi kubuye gawzela uyanya lomfundisi mbumbulu lo
401,0,ingabe ngusiphi lesikhundla lacabanga kutsii batamnika kanjenanana nangumajori vi wakhona ngoba kanjenanalo uzama kugcucgutela ufuna lusito tsite
402,-1,majori vi ukhululumisa kwemuntfu lonetilwane uyati kani kutsii kunemaphoyisa labulala bantfu ye vi kubi manije
403,-1,tjela inkhosi yakho isuke emanidleni ikhulule emaswati majori vaka phuma ku politikii unake bunyanga bakho noma likanjenanantfo lakhoutawufela kukhulumela futsi kanjenanalo ujabulisa bantfu
404,0,tshela mswati umnganakho akhiphe bacede na mthandeninomfazi kamthandeni nabacede bayiakhala everydayibuhlungu bunye
405,-1,kani unabo bantfwana ngabe batsini nje nababona luhlazo nanunjena brsnike lalababulala bantfu ngalo brbrmine angimati mthembu
406,0,ngani mine angimati lomthembu
407,-1,fani awudliwa mosi
408,0,abakhokhe elalunga ephalamende ejele kuphelanje
409,-1,umfundisi lokhuluma ngeluzeku
410,-1,quotsiyesaba angesabi minequoti
411,-1,ukudlisile mkhulu manigonano
412,-1,yemfowethuwethu asewume bo nkhosi dlamini wekunene kukhulumaindende assebliefi mfowethuwethu yidla imali yakho kuphela donti argumenti
413,0,kulicinikanjenana lesi sikhatsisekugcina
414,1,kuhle nkhosi
415,-1,kulukhuni emhlabeni nakunjena
416,-1,yekelani majori vi atihhemele yacalwa ngini lentfo yeku posteri latinkhundleni tekuchumania nihlupha emaswati nangoke longangani ningakhononi
417,-1,ubogawula ubheke poca uyakulandzela utakuwe batakwemuka ngulelilanga utabati
418,-1,nje uyakholwa lo doubti byi wayii setikhatsi tokugcina
419,-1,tinjinga atibenti lobulima lobu utfuswa bo tinkhulungwane letilishumi kanjenanatsi unemali shame phuya ndzini asiyidzingi nalemali yakho nayiisitabani kuphi vele dlani nebantfwabakho yekela tsine silwele kukhululeki vele sidla emasimba lenkhosi yakho idla lomnotfo wetfu batfwabetfu bafile kuhlupheka asilweli kulula tisu njengawe sifuna inhlalakahle yawonkhe wonkhe lalabatsandza inkhosi ngulalabakhatsalele tisu tabo ngoba policyi yalapha utinaka ukhnanlwe ngisho bakenu
420,-1,uyasenyanyisa sathane zini
421,0,awungiphe lemali ye majori vi ngafa kushayieka
