label,Comments
0,Ngifuna Kanjalo 
-1,Hhay uyinja boi
1,Exe uyabona lengoma ingumlilo
1,Siyabonga bhuti for shinning
1,Mangilalela leAlbum ngivele ngabuya lah ayiiiiClassic Lena wasekhayasesicela i video yeImbita
0,Pls Bhuti cela ungasuki kule afropop pls angumuwinner wonkhe Africa.Most of them besebalahla letrend
1,Ngiyanivuma bafethu
1,Muhle umsebenti bhuti....<br><br>Sophanda till the last breath...thanks for the jam mnaketfu 
0,Natsi siphuma makasi onkhe makasi straight  from swazi
1,Usezingeni lomtfwebulo  !!!
1,Sebenta Ndodza Muhle Kakhulu Umsebenti Wakho. LiSwati Lelingimi Litsi Liyabonga!
1,"Gogo, Nasi, Struu..!!! Ngabe umuntfwu ucamba emanga makangtsi lona mculo awukho mnandzi.. Siyabonga Busta.!"
0,Ngyaniva lapho Black Diamond
1,kuhle
1,"Hhay bafana balomyama ngiyo lentfo, ngiyo ngiyo... I will come to your studio bro...kuyaphekwa lapha hhay kudlala"
-1,Licatsa lenyama ngil&#39;coba ling&#39;shisa ...khala Histo
-1,Hahy ngeke niyaloya yoh niyayishaya lentfo
1,Takitsi tivuts&#39; umlilo.  
-1,Batsi ningakhohlwa kutsi simabhenjaminiiiii hehehehehe
-1,Lofana uyingoti lona . Keep it up boy
0,ngyavuma
1,Siyatichenya ngawe ntwana lencane 
0,Angati nekutsi ngitsin yebonine wow
1,Kahle Kahle uyayati intfo loyentako 
-1,asesive yakho hhay le lokukhwabanisa le musicholiq lengoma yakhe wena mfana
1,"Ngika Hlatsi bomnaketfu, hhay ngiyavuma young zesh, yemukela timbali takho usaphila mntfwana wanaka."
1,iyangbusisa
1,Ishu this is fa fa fa fire muhle umsebenti bro wami
1,"Ayi bhuti ngisihlwele sakho lesikhulu ayikho ingoma yakho lengite Yona , fuca bhuti utofika la ufisa khona"
1,Ye Ntwanencane colela labantfu.
1,Lapha tiyabuya timbecolo mnganami 
1,Timbeqolo mnganami
1,yebo inemlayeto Impela bekusindvwe ngebel&#39;tfole ...Kufinywa nangengcosa....
1,Uyicoca ngelulwimi lweSiswati. Uligugu kitsi singemaSwati. Uchubeke njalo jaha lakitsi
-1,bitalabanye ngyakcosha uyajika
1,ngiyabonga mine
-1,Hhay khona 
0,Yini le
1,Naboke tjwala
1,Ingichaza mase itsi &quot;masinatsa si&#39;yanatsa&quot;
1,Ngiyayivuma ngiyo!!..
-1,Ngiboniseni tjwala bami bunatfwe ngubani naboke . cabanga lencenye leyo ishiwo ngelivi lelidzakiwe entfweni
0,washa
-1,Sivelelwe phela tjwala banivulele. Ahit this one.
0,Mntungwa...
-1,Lomntfwana ufile ngemanga. She is even confusing herself.
-1,Banele mnetfu....awusimeleli simajita
0,Movies and cereals and recently...singisi seta ngemkhumbi
0,Kucale nje nakatsi virial
0,Yati besifuna lendzaba ye Epic Gig!
1,Siyatichenya ngemakhosi etfu 
0,Ehlane lasiya khona
1,Bohlubi labahle
1,ungacabangi Lisiko lenu lesive semaswati  nine noma ningangabikhona emaswati angachubeka
1,Mpembe likhulu ichawe lakitsi  I love you mfethu
-1,The dance the singer impela konakele
1,Muhl&#39; uJesu
0,Yah yakhiwe levideo neeeh
1,Kuyabonakala kutsi maswati kuhle xem nisenjabulweni yekuba sebukhoneni baSimakadze
1,Wow siyabonga ! Siphethe Amandhla Hallelujah .God bless you sis
1,Ngyanivuma bo Mshengu
1,Ya mfethu ngiyole  
0,Yah ngya kuva  &quot;chief&quot;. Siku lalele from sata frika
0,Jealous down mfanakithi......and then batsi kute I local content..?????
0,Ngiyo .......................
1,Ngyavuma Maswati
1,Aweeeee Eswatini kagogo welldone
1,kwamele mtfwana make.........kuhle....asinqonqotseni bekunene
1,Aybo uyahlabelela losisi
1,Hmm ngaze ngabusiseka
1,Waze wawuvuselela umoya wami
1,"Siyabonga Jesus glory, glory "
1,Powerful sisters I&#39;m blessed ungajiki mntakama uhlale unje. 
1,Sigcinele bona Jesu bangesuki kuwe laba
1,Kuyayiwa ezulwini
1,dlala ngenkondlo sonkondlo weti nkondlo<br> Kute kuthulisele ingcondvo.ngikufaka imendlela ngani ulihlahla ndlela.yona indlela yekulandzelwa .hlezi ngibuke kuwe mfe2 
1,"Sonkhondlo, haya mhayi ngiyakuva"
1,Inemandla
0,ngiyo
0,Babwam Maz
1,"Mntfwana babe, this is beautiful "
0,"Ngisengasho ngitsi ,&quot;Ngu Maz Lobhalile&quot;<br><br>"
0,Ibhaliwe gogo 
1,syabonga bhuti
0,Maz lobhalile
1,Niyayenta lentfo yenu 
1,Naloke liswati naboke bujaha majaha
1,"Mnaketfu umsebenti wakho unotsile. Noma mhlawumbe wena ungazuzi kangakanani Kodwa tsine siyaphila .Ngiyabonga mnaketfu,ngikaHlatsi kagogo kaNgwane eSwatini."
0,"Tsabedze uyetsaba, utsatsa Matsebula niye kuMatsapha niyotsenga ematsanga nematsapha, labuya atsengiswe butsaphutsaphu eSitsatsaweni ngaLesitsatfu ntsambama..."
-1,&quot;Indvwuku nalamuhla ayiwakhi umuti&quot;
1,Kwetfu masekuvulekile kusuke sekuvulekile
0,toti toti bobhut
1,These guys are going places. Nginifisela inhlanhla bobhuti.
0,Ngikhumbule
-1,Bona bayasentela bomakhwapheni my favourite song 
0,ubuyaphi sikhanyisele!
1,Eswatini awumncinyana
-1,Makhwapheni 
-1,Kukhona lengikuvako Makhwapheni nanginawe 
1,We jesu yenine ayibo lengoma ngitayidlalela lomake wakami
-1,Awu ngilamuleleni lentfo akusiyo yona
1,Yamnandzi  ingoma  shemu nkulunkulu ababusise
1,ngiyayitsandza lengoma lulwim&#39; lwesiswati njee lumnandzii kwalona
0,ijikile indzaba
-1,"Eish sgebengu mani, ungaze ucele imali utsi kufiwe ekhaya"
0,nedi lesiswati sakho 
-1,Bataku hurter
1,Ngisho Sigebengu  just love the Siswati scent 
-1,Imihlolo yebantfu
-1,Uva kuts inyandzaleyo ngkhulelwe mine..sgebenguuu!!!!!!uphila ngamachinga
1,chubeka bhuti mhle umsebenti wakho
0,Iyakhuluma lengoma
1,Intfo lebasenta yona bafati lena.  Iyaphila lengoma.
-1,Wow sgebengu lesi sphila ngamaqhinga
1,"01h3 am ngisenhla eGauteng langilalela khona nangu umculo lomnandzi. Awumangali ngoba ngihlala naletinye tive kepha angeke liphele liviki ngingakalaleli jay spitter ft M Nation, LIPHUZU LENGITA NALO kutsi i am a proud Swati from Entasi eBhabtini(Barberton) labatiko batsi sitimela sigcina khona.  lengingakusho nje kutsi bacinisile labadzala nabati &quot;INDVUKU LENHLE IGAWULA ETIVENI KANTSI FUTSI UMJINGI UDLIWA INHLITIYO&quot;..."
0,M Nation Babwam
0,Buya eSiteki ePhola utoyi performer 
1,ngilalele lengoma ngphezulu kwelase North West ngtsi khuphukan bafowetfu ingiyo lenfto
-1,Wena ngalelinye lilanga utongibulala ngenjabulo
0,Ngiyo Gogo gawula etiveni
0,Niyigawulile cobo this track ingikhumbuta Limuva lami it&#39;s really dope well done guys
-1,"langoma ngiyidlale eceleni kwenyama yenkhunku lecotjiwe yavele yetfoseka sikanye!  <br><br>Iyashiya lengoma batukulu, shiyaaaa!!!"
0,Kudzala ngizulazula
-1,lenye futsi Ngeke Ngivume 
1,Ngiyo bafana baGogo!!!!!!!!!!!!!!
-1,Wayiphula phula leyakho mfo Ngiyo mfo
0,Bengisolo ngiyilindzile  <br>Asigawuleni
1,Sajayiva ngema holday  ephasika<br>Ngiyo Gatjeni
1,lengoma ingumlilo.... mara yabona lendlela Lyrikal Busta lagijima ngakhona…cha ngyavuma
-1,Ngifika sebadlile endlini ngeke ngisutse
1,Phakama ntwana lencane 
1,kuhle loko youngzesh  .Kuhle kakhulu kitsi Siyinsah  siyabonga sikufisela imphumelelo
0,wendlula kanjani kumatsapha
0,Nam angisakhoni sithandwasami
0,Ngicela kutsi ungibeke station KaKhoza  Swati Music 
1,Kuhle siyabonga
1,Hhay Ukhokhe lunyawo mnetf
1,uyinkhosi uphetse laswatini ngitfula sigcoko
1,Yhoo bhuty kuhle kuyabongwa chubeka nekwenta lomuhle
0,Phakama
1,"<a href=""http://www.youtube.com/results?search_query=%23swatimusictotheworld"">#swatimusictotheworld</a>    bonaketfu niyentile lentfo kuhle"
1,Ligcabho lweMaswati 
1,Ngitsandza ndlela niyenta ngayo lentfwo. Anilwi niyenta njee. Kuhle loko.
-1,Ngiyo Bafowethu....Khuphuka lapho njayami Ntwanencane 
1,"Uyakhuphuka kemanje ukhuphuka ngaloshun wam siyabonga babe  , khuphuka Lyrikal"
1,Swati music ayisoze yafana ..khuphukani bafowethu
1,"Aaaw suka madoda  sound for generations@Upscale Live once again accompanied by great visuals<a href=""http://www.youtube.com/results?search_query=%23direktor"">#Direktor</a> Kwenu we see you <br><a href=""http://www.youtube.com/results?search_query=%23south"">#South</a> Africa#"
0,Kadze ngabona kuth umdzala laa kuletemculo
1,Busta mfana nibatjelile le stage ngesakho bhuti. Uyakwati lowentako a  on lelive lakitsi labokhokhomkhulu
1,Khuphuka mfanwam
0,Iviwa ngelutsi
-1,Kwenu uyagula dis sick
1,Kuhle kwetfu Kuhle ketfu
1,Umsebenti uyatikhulumela Malume
-1,Ebe kwaphuma ingwenya lastibeni 
0,I knew this was a hit ngicala kuyiva
1,"You working overtime bru,,muhle  kakhulu umsebenti uyancomeka"
1,Span sihlobile .....kuhle kyancomeka.
1,Mnaketfu sigcoko sami ngasetfula ngalela langa kuphuma lelilekhodi. from the trenches to the world Fire Mnaka
1, yena uyawati umculo umona phasi 
1,LALELA!!!!HHAYBO HHAYBO YINHLE LENTFO!! I AM SOOOOO PROUD BHUTI MUHLE UMSEBENTI!. QUALITY is BEYOND
1,Woow  singemaswati siyaticenya ngawe. Sound perfect. Camera perfect. Keep shining bhuti.
1,Clean bhuti...so proud kakhulu. Uy&#39;ndvodza emadvodzeni with this record.
1,Yamnandzi 
0,Ngicela nitjele Hloni abuyele ekhaya Abeg
0,Lokwa ngeluvivi. 
-1,Uyishayile
0,UmtfwanaRay
1,ngete ngasala kuloluju lolu ...you deliver the best mnetfu umlilo lo
1,Umsebenti muhle kakhulu  nkabiyam...swati music to the world Bafowethu 
0,Lokishi liyaphakamisa
1,Lyrikal busta <br><br>Lengoma imnandzi sibili
0,Khuphuka lapho mfowethu 
1,Great job to Director Kwenu sihlobile span sakho bhuti. Umhle umsebenti bo Bhuti eswatini music to the world 
1,Akwandze mfana wasekhaya
-1,Mahhwalala  kaSithole lana.. 
-1,Hhayi hhayi hhayi Lyrikal Busta exeeeeeetoo powerful mnetfu
0,Ngiyo loMphofu!
0,Kanjani
0,Cela ningitjele laboke ngobe nam sengyihamba
1,Ngiyamvuma loDP....
1,Inemandla lentfo 
1,Eswatini Music yaphakamisa Histo ungehla baba wam big upp
-1,Udlalelan ngatsi wena HISTO usvisa buhlungu nawcedza uyavuka wena
1,Bobhut niyasijabulisa xem 
0,YZ nyusa baba
-1,kuncono uyabhudza...besengfile buhlungu foza...<br> kawu
1,kuhle konkhe  Oh ngicela usebenta nawe usengakadzabuki bhuti foza wami.. Kungenjalo kona kusebentekile
1,kungiko futsi kuhamba kahle konkhe bafowethu nisebentile nje imphela nonkhe futsi  ..
0,incenye yekugcina
0,Yebonine tsine labanye sinatsa kakhulu emanti tinyembeti tiyatiphumela nje nasibuka lokunje... Yona imnandzi xem itsintsa nenhlitiyo ye Histo
1,Lokungijabulisako kutsi bewuphupha wena mfowethu  nanyalo usenatsi &amp; uphilile ungumcemane..
1,"Ngaze ngaba emotional,but nje muhle lomsebenti"
1,Akatsi &#39;I love you&#39; utsi &#39;awusithayp&#39; yami&#39;luhle lulwimi letfu 
1,Pusha gazi no yakuvuma ngatsi sjava sesiyema
-1, lijah&#39;lelimnyama
1,Hhay ngiyakvuma sweetheart 
0,Kanjani
1,"Siswati setfu,,, big up ESwatini"
-1,Kwenu uyasnokha ufuna 30k for ivideo sibe sisokola <br><br><br>Felt that 
0,Ngabalisi kakhulu Zesh.  Soon this will blow.
0,Bafana bami 
1,Ngyabonga mfowethu
1,Siyabonga mnetfwu kusipha umculo lomnandzi kanjena. Ngikufisela imphumelelo lengagcini
0,Mfanwam lo yey yekela.. Too dope
0,U deserve NKabi records But ngalahli lulwim lwakho nam I&#39;m coming.NaSimunye ngeke basentelutfo
1,Ngyavuma boiii
0,Inhlupheko S&#39;khala busuku nemini. 416 ngiyabonga!!
-1,Ishaya khona bafowethu
-1,Batsi sibhema insangu<br>Inkhululeko iyeta!
1,Keep on pushing bafo..umsebenti wakho uyabonakala.
-1,Solo ngiyakhala
1,Baba mangiyekelelwa nguwe lami&#39; litsemba selikuwe
1,Ngiyakuva ntwana lencane
0,Lomphofu
-1,"Kahle madvodza, ngeke ngihlale ngingabalisi"
1,Maye Siswati sakho sihle. Uhlabela nakahle mfana wasekhaya
0,Nami ngisho njalo ngitsi &quot;Bacolele&quot;  
-1,Ngumlilo lona ekse
1,Shweele khuphukani
1,Khuphukani bo mnaketfu 
0,Shweeele 
0,Sintfu nguhulumende angisho 
1,siyabonga majaha  .. umculo uyacaca
-1,yasho bomnetfu ngumlilo mosi lona
0,Nami
1,Ekhaya eSwatini&#39;s #1
1,Yewena.. ...liyandza. ..cha uwafezile emaphupho akho kuhle manje
1,"kuhle kahkkulu mnaka  ngisuka eSouth Africa, IsiZulu nesiSwati kucishe kufane, ngiyive kahle imnandzi kakhulu baba,"
1,Ngiyabonga mineee yooooh
1,Kuhle kakhulu bafana bakitsi!
1,ngiyo ngiyo lena. ngiyavuma. Muhle umsebenti wakho!
1,"muhle umsebenti wakhe mnaketfu, kusho kutichenya ngelulwimi lwakho"
1,Kuyatfokotisa kubona eMaswati akitsi enta umsebenti lomuhle. Yibambeni lapho bafana bakitsi
1,"uyabona lo &quot; mcondzisi wenu &quot; muhle shem umsebenti wakho. <br>as yona lengona, kuhle kakhulu... <br><br>tandla tindlula enhloko.  Chubekani kanjalo bantfu bakitsi "
0,Nami
1,Ngiyabonga mineee yooooh
1,Kuhle kakhulu bafana bakitsi!
1,"muhle umsebenti wakhe mnaketfu, kusho kutichenya ngelulwimi lwakho"
1,Ngiyayivuma mfana
1,Kuyatfokotisa kubona eMaswati akitsi enta umsebenti lomuhle. Yibambeni lapho bafana bakitsi
-1,Kuyadlalwa ngatsi lana
-1,Kudlaliwe ngema data etfu la
-1,Kodwa maye Slwane akatfumeki nebakitsi
-1,"Slwane sewunani lokungahloniphi Gogo? Uyeyisa lo, akashaywe. Singadlalwa tilwane"
0,Bekavalelisa ekuseni mnftwana Nkulunkulu Silwane 
1,Slwane unelibhuluko lelisha
0,Ngisabele entansi njenga Adam 
0,Ungaphazamisi lukholo lwaSlwane gogo ngiyacela man 
0, angishongo kutsi phakela yemtfwana
-1,Buvila Slwane
0,Okandaba  wena waphakathi
0,mani njalo mlisa
1,Wasibita savuma....
0,Bagabe ema shoba! Baningi...sebangangawe Bhubesi!!! Bayethe...wena WaPhakathi!
1,Udlemathole ezinyathi Bayethe nhlitiyo lemhlophe ngekwehlula emanga emadvodza wena waphakathi siyakutsandza Nkhosi
-1,Uyimbube uyesabeka bayethe wena waphakathi
-1,Lwandlolukhulu luyesabeka. Bayethe<br>Somandla asigcinele wena Silo&#39;skhulu
1,"Bayethe wena waphakathi. Lonwele loludze wena waBhuza. May the Hand of God always protect you, May God give you great wisdom"
1,Bayethe wena waphakatsi
1,siyabonga... Uyimbube siloskhulu
1,SiSwati setfu siyatigcabha ngaso. Siyabonga
1,sitawukhululeka ngalelinye lilanga...siphilele Bacede siphilele
-1,Ningaphumi lapho yidzawo inifaele nimahlongandlebe
1,"sinawe mshengu, sifisa sengatsi anganibusisa nkulunkulu"
1,Ngitsandza lesibindzi lonaso  mphatsi wetfu siyohlezi Sinani emkhulekweni
0,Eyiii mntfwana wamabuza nkosiyami 
0,Mshengu 
1,Sibonge impela baholi kuphumelela kwenu kuba  nje ngibonge kakhulu   Mabuza emagama lawakhulumile ayasicinisa simaswati lokutsi solo umile ecinisweni ufuna inkhululeko yemaswati
1,Siyabonga baholi kuma nebahlonishwa Nkosi yami ebunzimeni. Bukani nje manjetimali tekufundza tisetule kepha kukuhulunywa ngebu kani lonkabi uyagubha yena ngale nebantfwa bakhe. Awu suka washo spoko skwatile
1,Uyindvodza yempi Simakadze!<br> Akawadli emandla emuntfu!<br>emazulu nemoya longcwele anatsi kulesimo bahlonishwa! <br>
0,Batjeleni labo kutsi live lemaswati likahle kusete lokumatima
-1,Ingabe utamentani usahlulwa kunakekela umdeni wakho nje
1,Liciniso vele sidzinga hulumende wetfu hhayi hulumende wemuntfu munye
1,Ngiyakuva Dlamini wekunene chaza tive tidalwa taSmakadze
1,Ngatalwa ngemmbita
1,Bangamjaji
0,but akana secret Matsapha Gospel Messengers nje ingenaphi manje
0,maye siyabonga<br><br><br>Please consider inviting Gcinimiyalo Prof..... he&#39;s one of the most talented poets of the country
0,"&quot;ungamtsatsi Nkulunkulu ngatsi ngu bhululu wakho , its not your bhululu&quot; "
0,Umkhanuke&#39;angekho I tsunami 
0,Yabona wamfuta Khalekuseni Major....kona nasotsi kani bekuyimfihlo yni
1,Umprofethi uyatakhela emagama esingisi and i love it with my all heartkeep it up mprofethi
0,"ingabe lo 40 wetmoto lakatipha bantfu wabapha mbamba yini, cz he conned my friend 5k amtsembisa kumupha imoto. till today"
-1,Bengitsakatsa vele 
1,Kunemphilo khabo Major both parents and grandmother alive
1,Silwane semandla
1, ngichazwa ngulo &quot;nombolo yekucal 1 nje&quot; sibe sesiku sisenombolwenini yemashumi lasihlanu
1,Hehehe wase uyajampisa umbholofidi umnikelo ..ujabule kakhulu wakhipha nemfihlo yemnikelo .
-1,Wake wayivaph mahlala ekhukhwini akhalanje ietindzaweni letinjeni lowelucingo kufanele acoshwe&#39;s akafundziseki ngemsebenti
-1,"2k,2hrs? <br><br>Uyakhuluma lo babe"
0,"Tsunami seyingekhatsi kulendlu utoshumayela ,kodvwa solo angvanga kutsi uyajola yin "
1,Akulandzele Gedlembane siyacela
1,&quot;babwakho wakuphika&quot;
1,Uyatikhulumela Major V...Nice interview...What&#39;s your Story
-1,"Tsunami beyingumlilo   sesicela Stufuza sitokuva kuts kahle kahle yena uyini? Inyanga nurse , mfindisi  intsatseli  Ngoba wow"
0,The Tsunami lucobo lwakhe kunini solo simumele
1,Kunjalo nceku
1,Siyabonga babe kisincusela emseni wa Nkulunkulu asiwufanelanga ngenxa yebufze bendlela
-1,Kona asijajani  nalabacoki babocoka umuntfwu lowatiwako ngaletasekhaya
1,Amen uNkulunkulu esimkhonzayo
1,Phakama tsunami phakama Major Major. Ayi ngikuvile nceku
0,Bese litsi lakhe ningaliphatsi ligama lami ngelite kusho Smakadze
1,Kan major v umnandzi
1,Hheyi gibela Major V phakama tata yenyuka
1,Amen Major V ..... Umthantazo lojule kanjena
-1,Nje ngumfundisi lo?
-1,Uyabona wena ngifisa kubona bakini
-1,Umubi
0,Atilinganiswa ke letitfombe nkhosi. Lesakho siba ngentasana kwalesi semgwenyama
0,"Ye Major ngicela ube ngumngani wami Bhuti wami. Uyabona uhamba wedvwa lakaNgwane. Mine ngicela ungangcwatjwa lapho esontfweni njengabo bafundise base Roma. Ungabotitsintsa te democracy kepha tindzala kunawe Mnganami. Wena sicocele ngaletiga takho na Khumalo, nibanga ini vele Beautiful Boy."
0,Unjani ye Vusamuzi Dlamini. <br>Ubobakhumbuta kutsi inkhosi yaya eMerica wabindza Dvu Monti
0,Mfati unaye nje major V
-1,Asebambhense lenyatsini lo
-1,Udakiwe hhabbee siphaza
-1,Wena major v soyagula lapha enhloko yakho
-1,Major V soyagula
-1,Kutawunya inja ey luhlanya letsemben
-1,Ye wena silima solo wenta lite musa kuteta loncono v wakhona maye uyasenyanyisa xm kube uyati wena hloko khulu ase uphume emabhozeni hloko khulu 
-1,Ngeke uye ezulweni wene usasitfuka kanjena ushumayela ini vele nje cha nyekela lokukholwa wena dimoni
-1,Lizeku aliseti hamba uyolapha wena kucace kutsi ungubulali
-1,Nababe Kunene lowabulawa eSiteki maphoyisa bekalunge kakhulu
0,Utsi umprophethi ufuna kufaka luzeku.
0,Siyesaba angesabi mine  really
-1,Litsambo lemuntfu liyakhuluma nyalo kukhuluma lawa lashaya e brewery
0,Buyisela le Mali yase building society
-1,Mine nginaka kwakona lokutsi yena unaka mthembu  kuphela lo lomunye Abe  ungenasebenti  yin yena. Ngulube uyanya
-1,Tjela Mswati wena masimbha enja wena
-1,"Wena buyela esikolwen utokwati kufundza imphilo lekucabangela sive saSmakadze , usisibo baMswati siba Nkulunkulu . Ubabuye tikwe sive sigcuzulo lomngani wakho buka uyohamba wedwa buka ke"
-1,"Laba lebafaka bantfu eBrewery watsin wena uyagula mbamba lungisa umlomo , fani utophumula ucedza ku post Justice khona laku YouTube utsi lobulala naye utobulawa"
-1,awsiyeke wena  tjela lobukhosi bakho buyeke kudlala ngatsi tu
-1,Ayinye inja lol
1,2029 besngekho mprofeti kantsi iphi by one by one stobabamba by one by one sorry mthembu lalangokuthula
0,Babulawe Lani laba labafa 2029 ewena ndoda yelizekwa
-1,Maye nanayi inyanga iyahlupha nayi. Ikhuluma nelite. Senguye lekati labalungile nalabangakalungi? Asikhaleni sokhe size sikhululeke.
-1,"Uyahlanya lo....utsi batawthantaza kuze kuphume ema MP, kubuye Gawzela. Uyanya lomfundisi mbumbulu lo"
0,Ingabe ngusiphi lesikhundla lacabanga kutsi batamnika sona nanguMajor V wakhona? Ngoba solo uzama kugcucgutela  ufuna lusito tsite.
-1,Major V ukhululumisa kwemuntfu lonetilwane. Uyati kani kutsi kunemaphoyisa labulala bantfu 2029.. Ye V kubi manje
-1,"Tjela inkhosi yakho isuke emandleni ikhulule emaswati, Major Vaka phuma ku politics unake bunyanga bakho noma lisontfo lakho.Utawufela kukhulumela futsi solo ujabulisa bantfu."
0,Tshela Mswati  umnganakho akhiphe Bacede na Mthandeni.Nomfazi  kaMthandeni naBacede bayakhala everyday.buhlungu bunye
-1,Kani unabo bantfwana  ngabe batsin nje nababona luhlazo lolunjena <br>Snike lalababulala bantfu ngalo 2029 <br><br>Mine angimati mthembu 
0,Ngani mine angimati loMthembu
-1,Fani awudliwa mosi
0,Abakhokhe elalunga ephalamende ejele kuphelanje
-1,Umfundisi  lokhuluma ngeluzeku
-1,&quot;Siyesaba - angesabi mine&quot; 
-1,Ukudlisile wena mkhulu wena mangololo
-1,Yemfowethu asewume Bo NKHOSI Dlamini wekunene kukhuluma...indende asseblief Wena mfowethu yidla imali yakho kuphela don&#39;t argument
0,Kuliciniso  lesi sikhatsisekugcina
1,Kuhle Nkhosi.
-1, kulukhuni emhlabeni nakunjena
-1,Yekelani major v atihhemele yacalwa ngini lentfo yeku poster latinkhundleni tekuchumana nihlupha emaswati nangoke longangani ningakhononi
-1,"ubogawula ubheke POCA uyakulandzela utakuwe, batakwemuka ngulelilanga utabati,"
-1,Nje uyakholwa lo? I doubt. By the way setikhatsi tokugcina.
